17	Päärakennus	\N	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.180043	2015-05-21 19:27:16.180043
18	A-sali	Y202a	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.195668	2015-05-21 19:27:16.195668
19	A0	A037	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.195668	2015-05-21 19:27:16.195668
20	A1	A123	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.195668	2015-05-21 19:27:16.195668
21	A125b	A125b	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.195668	2015-05-21 19:27:16.195668
22	A2	A215	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.195668	2015-05-21 19:27:16.195668
23	A304	A304	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.195668	2015-05-21 19:27:16.195668
24	A308	A308	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.195668	2015-05-21 19:27:16.195668
25	AAula	ala-aula	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.195668	2015-05-21 19:27:16.195668
26	AP1	A122a	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.211293	2015-05-21 19:27:16.211293
27	AP2	A235f	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.211293	2015-05-21 19:27:16.211293
28	AP3	A309	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.211293	2015-05-21 19:27:16.211293
29	AS0	A034	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.211293	2015-05-21 19:27:16.211293
30	AS1	A124	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.211293	2015-05-21 19:27:16.211293
31	AS2	A221	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.211293	2015-05-21 19:27:16.211293
32	AS3	A307	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.211293	2015-05-21 19:27:16.211293
33	ATK1	A046a	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.211293	2015-05-21 19:27:16.211293
34	ATK2	A046b	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.211293	2015-05-21 19:27:16.211293
35	B-sali	Y203a	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.226918	2015-05-21 19:27:16.226918
36	C-sali	Y205	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.226918	2015-05-21 19:27:16.226918
37	D-sali	Y122	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.226918	2015-05-21 19:27:16.226918
38	E-sali	Y124	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.226918	2015-05-21 19:27:16.226918
39	F-sali	U141	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.226918	2015-05-21 19:27:16.226918
40	G-sali	U142	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.226918	2015-05-21 19:27:16.226918
41	H-sali	U147	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.226918	2015-05-21 19:27:16.226918
42	H304	Hallituksen istuntosali	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.226918	2015-05-21 19:27:16.226918
43	H310	H4	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.226918	2015-05-21 19:27:16.226918
44	J-sali	U149	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.242543	2015-05-21 19:27:16.242543
45	K-sali	U154	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.242543	2015-05-21 19:27:16.242543
46	K014	K014	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.242543	2015-05-21 19:27:16.242543
47	K101	H1	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.242543	2015-05-21 19:27:16.242543
48	K102	H2	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.242543	2015-05-21 19:27:16.242543
49	K104	H3	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.242543	2015-05-21 19:27:16.242543
50	KON	A222	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.242543	2015-05-21 19:27:16.242543
51	L-sali	U270	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.242543	2015-05-21 19:27:16.242543
52	M-sali	U157	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.242543	2015-05-21 19:27:16.242543
53	M1	M232	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.258168	2015-05-21 19:27:16.258168
54	M102	M102	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.258168	2015-05-21 19:27:16.258168
55	M129	M129	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.258168	2015-05-21 19:27:16.258168
56	M134	M134	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.258168	2015-05-21 19:27:16.258168
57	M145b	M145b	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.258168	2015-05-21 19:27:16.258168
58	M2	M233	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.258168	2015-05-21 19:27:16.258168
59	M203	M203	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.258168	2015-05-21 19:27:16.258168
60	M205	M205	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.258168	2015-05-21 19:27:16.258168
61	M240	M240	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.258168	2015-05-21 19:27:16.258168
62	M3	M234	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.273794	2015-05-21 19:27:16.273794
63	M315	M315	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.273794	2015-05-21 19:27:16.273794
64	M329	M329	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.273794	2015-05-21 19:27:16.273794
65	M330	M330	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.273794	2015-05-21 19:27:16.273794
66	M4	M220	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.273794	2015-05-21 19:27:16.273794
67	M5	M140	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.273794	2015-05-21 19:27:16.273794
68	MAP	A131a	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.273794	2015-05-21 19:27:16.273794
69	MAula	mellin-aula	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.289419	2015-05-21 19:27:16.289419
70	MS1	A128	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.289419	2015-05-21 19:27:16.289419
71	N-sali	U271	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.289419	2015-05-21 19:27:16.289419
72	Oppilaslabra	Y156	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.289419	2015-05-21 19:27:16.289419
73	U130	U130	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.289419	2015-05-21 19:27:16.289419
74	U131	U131	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.289419	2015-05-21 19:27:16.289419
